	author_title	isbn10	isbn13
222	 Carl Hiaasen.**SICK PUPPY		9780446604666
223	 Carl Hiaasen.**SKINNY DIP		9781299103597
224	 Carl Hiaasen.**STORMY WEATHER		9781299025233
225	 Carl Hiaasen.**STRIP TEASE		9781568950495
226	 Carl Sagan.**CONTACT		9780671570439
227	 Carlos Fuentes.**THE OLD GRINGO		9788447307227
228	 Carmen Carter.**THE DEVIL'S HEART		9780743420631
229	 Carol Higgins Clark.**ZAPPED		9781602852020
230	 Carrie Fisher.**POSTCARDS FROM THE EDGE		9780330320313
231	 Carrie Fisher.**SURRENDER THE PINK		9781558009493
232	 Catherine Coulter.**BLINDSIDE		9781587888540
233	 Catherine Coulter.**BLOWOUT		9781587888588
234	 Catherine Coulter.**DOUBLE TAKE		9781597108485
235	 Catherine Coulter.**ELEVENTH HOUR		9781597102452
236	 Catherine Coulter.**HEMLOCK BAY		9785170183517
237	 Catherine Coulter.**RIPTIDE		9780752844275
238	 Catherine Coulter.**THE EDGE		9781101191514
239	 Catherine Coulter.**THE MAZE		9780399145599
240	 Catherine Coulter.**THE TARGET		9781101658918
241	 Catherine Marshall.**JULIE		9780380698912
242	 Chaim Potok.**IN THE BEGINNING		9781299007864
243	 Chaim Potok.**THE BOOK OF LIGHTS		9780140064803
244	 Charlaine Harris.**ALL TOGETHER DEAD		9788483651643
245	 Charlaine Harris.**DEFINITELY DEAD		9783423209878
246	 Charlaine Harris.**FROM DEAD TO WORSE		9780575083950
247	 Charles Bock.**BEAUTIFUL CHILDREN		9780739499177
248	 Charles Frazier.**COLD MOUNTAIN		9780679460695
249	 Charles Frazier.**THIRTEEN MOONS		9780679312635
250	 Chelsea Cain.**HEARTSICK		9780330462211
251	 Chris Bohjalian.**SKELETONS AT THE FEAST		9780739327951
252	 Chris Bohjalian.**THE DOUBLE BIND		9781407434063
253	 Christina Schwarz.**DROWNING RUTH		9781568959597
254	 Christine Feehan.**DARK POSSESSION		9781423340201
255	 Christopher Buckley.**BOOMSDAY		9780446194952
256	 Christopher Buckley.**THE WHITE HOUSE MESS		9781299042650
257	 Christopher Moore.**A DIRTY JOB		9780061172076
258	 Christopher Moore.**YOU SUCK		9788865830680
