	asin	author	author_title	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title
4072		 David Eddings.	 David Eddings.**KING OF THE MURGOS		9780345419200	1988-03-27	1	0	9	KING OF THE MURGOS
4073		 Clive Cussler.	 Clive Cussler.**TREASURE		9785556068445	1988-03-27	4	4	3	TREASURE
4074		 Robert Ludlum.	 Robert Ludlum.**THE ICARUS AGENDA		9782266105392	1988-03-27	5	1	1	THE ICARUS AGENDA
4075		 Dick Francis.	 Dick Francis.**HOT MONEY		9780141929613	1988-03-27	4	5	4	HOT MONEY
4076		 Tom Wolfe.	 Tom Wolfe.**THE BONFIRE OF THE VANITIES		9780553381344	1988-03-27	23	2	2	THE BONFIRE OF THE VANITIES
4077		 Rosamunde Pilcher.	 Rosamunde Pilcher.**THE SHELL SEEKERS		9789635488841	1988-03-27	8	6	6	THE SHELL SEEKERS
4078		 John Updike.	 John Updike.**S.		9781299064683	1988-03-27	3	12	10	S.
4079		 Stephen King.	 Stephen King.**THE TOMMYKNOCKERS		9781501143847	1988-03-27	20	5	8	THE TOMMYKNOCKERS
4080		 Arthur C. Clarke.	 Arthur C. Clarke.**2061: Odyssey Three		9780246133236	1988-03-27	19	11	15	2061: Odyssey Three
4081		 Danielle Steel.	 Danielle Steel.**KALEIDOSCOPE		9788878245297	1988-03-27	25	10	14	KALEIDOSCOPE
4082		 Tom Clancy.	 Tom Clancy.**PATRIOT GAMES		9784167275709	1988-03-20	9	36	9	PATRIOT GAMES
4083		 Ethan Canin.	 Ethan Canin.**EMPEROR OF THE AIR		9780747518426	1988-03-20	2	0	14	EMPEROR OF THE AIR
4084		 Scott Turow.	 Scott Turow.**PRESUMED INNOCENT		9780446676441	1988-03-20	41	5	7	PRESUMED INNOCENT
4085		 Judith Michael.	 Judith Michael.**INHERITANCE		9781514280348	1988-03-20	3	7	8	INHERITANCE
4086		 Clive Cussler.	 Clive Cussler.**TREASURE		9785556068445	1988-03-20	3	4	4	TREASURE
4087		 Jonathan Winters.	 Jonathan Winters.**WINTERS' TALES		9780394759784	1988-03-20	14	16	15	WINTERS' TALES
4088		 Robert Ludlum.	 Robert Ludlum.**THE ICARUS AGENDA		9782266105392	1988-03-20	4	1	1	THE ICARUS AGENDA
